,job id,time (hours),cdf
449,4666,1519,0.001
499,4736,1983,0.002
45,4109,2113,0.003
602,4855,2125,0.004
0,4008,2156,0.005
203,4351,2167,0.006
216,4375,2170,0.007
637,4904,2171,0.008
497,4735,2182,0.009
620,4888,2189,0.01
536,4778,2200,0.011
270,4438,2209,0.012
446,4661,2237,0.013
82,4178,2256,0.014
584,4827,2257,0.015
422,4618,2282,0.016
390,4582,2322,0.017
480,4705,2342,0.018
430,4624,2343,0.019
381,4572,2360,0.02
126,4247,2372,0.021
595,4851,2376,0.022
660,4927,2404,0.023
33,4091,2406,0.024
159,4289,2429,0.025
451,4668,2456,0.026
370,4560,2462,0.027
677,4955,2469,0.028
85,4181,2471,0.029
594,4841,2483,0.03
553,4791,2492,0.031
160,4292,2509,0.032
519,4760,2517,0.033
346,4528,2522,0.034
369,4557,2531,0.035
52,4119,2538,0.036
1,4007,2542,0.037
198,4345,2575,0.038
652,4908,2583,0.039
657,4916,2588,0.04
599,4853,2605,0.041
3,4018,2608,0.042
228,4386,2611,0.043
229,4385,2641,0.044
711,4993,2647,0.045
579,4816,2677,0.046
455,4673,2678,0.047
367,4551,2681,0.048
356,4542,2711,0.049
690,4971,2713,0.05
340,4519,2719,0.051
606,4859,2725,0.052
260,4418,2734,0.053
320,4497,2744,0.054
436,4641,2748,0.055
612,4872,2749,0.056
24,4065,2759,0.057
83,4179,2766,0.058
520,4757,2767,0.059
78,4169,2771,0.06
9,4034,2782,0.061
106,4212,2817,0.062
558,4793,2826,0.063
206,4353,2830,0.064
672,4948,2835,0.065
287,4452,2839,0.066
698,4979,2854,0.067
223,4378,2859,0.068
549,4784,2863,0.069
128,4249,2902,0.07
266,4425,2907,0.071
288,4455,2920,0.072
333,4514,2939,0.073
580,4817,2942,0.074
562,4809,2948,0.075
718,4999,2949,0.076
483,4702,2960,0.077
60,4135,2992,0.078
345,4527,3000,0.079
111,4235,3015,0.08
575,4813,3036,0.081
484,4704,3045,0.082
713,4991,3050,0.083
53,4127,3072,0.084
252,4408,3154,0.085
644,4905,3185,0.0865
445,4655,3185,0.0865
702,4981,3204,0.088
25,4067,3211,0.089
100,4198,3212,0.09
23,4064,3218,0.091
518,4752,3228,0.092
144,4272,3239,0.093
258,4415,3242,0.094
433,4632,3261,0.095
211,4362,3296,0.096
532,4775,3345,0.097
454,4671,3352,0.098
49,4107,3375,0.099
324,4501,3412,0.1
247,4401,3414,0.101
694,4977,3442,0.102
157,4286,3463,0.103
276,4444,3470,0.104
388,4578,3479,0.105
389,4579,3510,0.106
242,4394,3517,0.107
588,4829,3519,0.108
12,4039,3529,0.109
293,4462,3548,0.11
132,4251,3566,0.111
147,4273,3573,0.112
29,4077,3579,0.113
527,4773,3612,0.114
469,4684,3624,0.115
102,4205,3640,0.116
403,4598,3645,0.117
249,4405,3646,0.118
565,4808,3657,0.119
221,4372,3658,0.12
241,4393,3662,0.121
192,4338,3687,0.122
62,4137,3733,0.123
47,4105,3758,0.124
492,4718,3799,0.125
517,4747,3852,0.126
76,4160,3857,0.127
481,4695,3882,0.128
406,4599,3884,0.129
382,4567,3892,0.13
291,4457,3895,0.131
183,4321,3910,0.132
139,4261,3922,0.133
239,4391,3943,0.134
528,4772,3964,0.135
505,4739,3970,0.136
638,4897,3997,0.1375
142,4264,3997,0.1375
79,4162,4000,0.139
688,4968,4107,0.14
366,4547,4112,0.141
73,4148,4113,0.142
687,4964,4128,0.143
685,4962,4151,0.144
318,4493,4177,0.145
489,4715,4183,0.146
566,4805,4190,0.147
466,4677,4200,0.148
16,4047,4225,0.149
524,4764,4228,0.15
336,4513,4266,0.151
250,4402,4268,0.152
114,4231,4279,0.153
118,4239,4305,0.154
307,4473,4306,0.155
306,4472,4321,0.156
177,4311,4323,0.157
413,4612,4329,0.158
640,4899,4343,0.159
28,4075,4403,0.16
162,4288,4428,0.161
18,4052,4445,0.162
525,4762,4457,0.163
196,4339,4474,0.164
425,4619,4480,0.165
609,4862,4488,0.166
219,4369,4513,0.167
272,4431,4559,0.168
440,4648,4630,0.169
165,4294,4631,0.17
113,4225,4662,0.171
355,4537,4721,0.172
681,4952,4732,0.173
488,4710,4747,0.174
155,4279,4766,0.175
347,4525,4810,0.176
559,4792,4866,0.177
439,4639,4911,0.178
354,4534,4939,0.179
552,4786,4957,0.18
343,4524,4964,0.181
384,4564,4995,0.182
84,4167,5022,0.183
725,4994,5030,0.184
623,4886,5046,0.185
188,4322,5082,0.186
361,4540,5101,0.187
319,4492,5104,0.188
2,4004,5117,0.189
500,4728,5123,0.19
58,4131,5142,0.191
448,4657,5154,0.192
42,4099,5160,0.193
720,4990,5185,0.194
105,4207,5242,0.195
315,4487,5288,0.196
168,4297,5290,0.197
378,4559,5307,0.198
668,4937,5338,0.199
604,4852,5370,0.2
471,4681,5408,0.201
665,4925,5475,0.202
13,4038,5493,0.203
295,4459,5504,0.204
77,4154,5547,0.205
487,4697,5560,0.206
119,4238,5634,0.207
297,4460,5640,0.208
662,4918,5648,0.209
416,4611,5650,0.21
639,4893,5667,0.211
563,4799,5670,0.212
601,4845,5683,0.213
493,4714,5700,0.214
453,4664,5804,0.215
179,4305,5820,0.216
316,4485,5827,0.217
571,4804,5831,0.218
371,4548,5868,0.219
649,4901,5896,0.22
670,4938,5914,0.221
166,4293,5921,0.222
614,4867,5933,0.223
129,4241,5989,0.224
375,4553,6025,0.225
149,4268,6038,0.226
512,4737,6043,0.227
172,4299,6052,0.228
5,4019,6061,0.229
392,4575,6175,0.23
339,4510,6197,0.231
181,4310,6223,0.232
274,4427,6253,0.233
522,4745,6265,0.234
678,4944,6273,0.235
645,4894,6283,0.236
184,4318,6354,0.237
199,4336,6383,0.238
435,4627,6514,0.239
636,4892,6569,0.24
603,4842,6599,0.241
133,4245,6623,0.242
86,4165,6628,0.243
477,4686,6646,0.244
669,4932,6672,0.245
173,4298,6690,0.246
589,4822,6780,0.247
88,4174,6982,0.248
294,4454,7037,0.249
322,4490,7109,0.25
452,4659,7129,0.251
351,4522,7156,0.252
587,4821,7175,0.253
91,4182,7186,0.254
357,4531,7191,0.255
55,4122,7200,0.256
618,4874,7209,0.257
27,4061,7283,0.258
37,4087,7289,0.259
501,4719,7314,0.26
494,4708,7322,0.261
437,4625,7329,0.262
97,4185,7338,0.263
122,4234,7364,0.264
327,4499,7387,0.265
513,4734,7397,0.266
443,4645,7412,0.267
423,4613,7424,0.268
289,4449,7444,0.269
401,4588,7497,0.27
671,4933,7547,0.271
368,4541,7556,0.272
271,4421,7600,0.273
43,4093,7697,0.274
507,4731,7701,0.275
568,4795,7735,0.2765
48,4098,7735,0.2765
140,4254,7740,0.278
634,4887,7744,0.279
197,4333,7772,0.28
152,4262,7790,0.281
386,4561,7825,0.282
217,4355,7872,0.283
14,4033,7874,0.284
506,4729,7898,0.285
661,4909,7918,0.286
204,4337,7945,0.287
193,4327,8170,0.288
666,4922,8190,0.289
421,4607,8204,0.29
11,4027,8223,0.291
407,4595,8286,0.292
393,4568,8290,0.293
434,4622,8389,0.294
625,4879,8427,0.295
309,4469,8442,0.296
143,4255,8530,0.297
279,4435,8555,0.298
707,4978,8576,0.299
6,4014,8600,0.3
68,4134,8726,0.301
554,4781,8747,0.302
164,4277,8839,0.303
21,4049,8844,0.304
146,4257,8863,0.305
442,4635,8869,0.306
613,4854,8892,0.307
150,4259,8926,0.308
516,4738,8954,0.309
417,4602,8968,0.31
15,4032,9026,0.311
19,4045,9125,0.312
17,4040,9169,0.313
402,4584,9293,0.314
543,4767,9363,0.315
556,4779,9371,0.316
643,4890,9377,0.317
35,4079,9434,0.318
209,4341,9461,0.319
514,4732,9534,0.32
534,4748,9660,0.321
630,4878,9708,0.322
608,4847,9753,0.323
385,4552,10005,0.324
708,4975,10039,0.325
185,4302,10045,0.326
581,4807,10066,0.327
577,4802,10095,0.328
41,4085,10137,0.329
26,4053,10147,0.33
429,4614,10165,0.331
167,4278,10209,0.332
479,4679,10277,0.3335
71,4133,10277,0.3335
4,4010,10356,0.335
180,4295,10411,0.336
125,4219,10458,0.337
148,4252,10521,0.3385
569,4788,10521,0.3385
586,4812,10560,0.34
64,4128,10706,0.341
486,4682,10819,0.342
283,4432,10926,0.343
560,4782,10930,0.344
578,4801,10941,0.345
308,4464,11114,0.346
65,4129,11160,0.347
546,4768,11161,0.348
127,4218,11166,0.349
257,4398,11409,0.35
251,4390,11429,0.351
641,4884,11435,0.352
475,4674,11477,0.353
108,4199,11517,0.354
92,4158,11781,0.355
215,4342,11905,0.356
36,4074,11947,0.357
269,4411,12001,0.358
503,4709,12075,0.359
286,4433,12079,0.36
547,4765,12168,0.361
81,4139,12308,0.362
96,4171,12507,0.363
31,4055,12523,0.364
59,4110,12554,0.365
431,4610,12581,0.366
409,4587,12640,0.367
673,4917,12738,0.368
650,4885,12869,0.369
90,4152,12879,0.37
233,4354,12991,0.371
633,4871,13051,0.372
224,4344,13086,0.373
236,4365,13131,0.374
498,4693,13513,0.375
89,4149,13516,0.376
682,4924,13608,0.377
473,4667,13709,0.378
254,4392,13739,0.379
210,4331,13751,0.38
34,4062,13789,0.381
95,4157,14122,0.382
548,4753,14182,0.383
635,4869,14387,0.384
628,4861,14441,0.385
87,4141,14513,0.386
7,4005,14515,0.387
243,4367,14694,0.388
200,4314,14773,0.389
332,4486,15027,0.39
404,4573,15118,0.391
329,4484,15159,0.392
576,4787,15193,0.393
67,4117,15245,0.394
93,4145,15349,0.395
383,4536,15422,0.396
328,4481,15534,0.397
212,4329,15552,0.398
50,4082,15559,0.399
397,4554,15575,0.4
10,4011,15587,0.401
731,4982,15594,0.402
235,4352,15645,0.403
138,4228,15710,0.404
110,4192,15734,0.405
120,4204,15807,0.406
502,4692,15809,0.407
248,4377,15818,0.408
709,4958,15857,0.409
137,4222,16254,0.41
191,4291,16292,0.411
585,4794,16352,0.412
156,4244,16472,0.413
256,4387,16855,0.414
8,4001,16870,0.415
363,4515,16883,0.416
724,4967,16965,0.417
648,4873,16972,0.418
458,4642,17073,0.419
456,4637,17135,0.42
509,4694,17258,0.421
463,4647,17292,0.422
686,4914,17423,0.423
467,4654,17626,0.424
238,4349,17824,0.425
38,4059,17912,0.426
330,4477,17996,0.427
426,4594,18001,0.428
292,4436,18428,0.429
699,4934,18576,0.43
703,4941,18639,0.431
468,4652,18649,0.432
169,4253,18741,0.433
722,4960,18768,0.434
32,4048,18790,0.435
629,4849,19058,0.436
182,4265,19180,0.437
410,4574,19276,0.438
281,4413,19489,0.439
189,4275,19837,0.44
701,4936,19894,0.441
44,4060,19906,0.4425
653,4868,19906,0.4425
51,4073,20102,0.444
622,4838,20231,0.445
394,4533,20269,0.446
284,4412,20348,0.447
590,4789,20395,0.448
373,4516,20415,0.449
56,4090,20460,0.45
651,4866,20528,0.451
411,4569,20849,0.452
231,4332,21063,0.453
268,4395,21105,0.454
414,4571,21154,0.455
296,4428,21218,0.456
321,4461,21250,0.457
697,4921,21350,0.458
20,4024,21420,0.459
300,4437,21675,0.46
313,4451,21720,0.461
739,4985,21843,0.462
153,4224,21896,0.463
194,4284,22154,0.464
412,4562,22526,0.465
710,4935,23096,0.466
706,4929,23198,0.467
353,4494,23487,0.468
135,4202,23534,0.469
263,4381,23544,0.47
22,4021,23672,0.471
151,4213,23736,0.472
121,4188,23811,0.473
734,4972,23852,0.474
259,4374,23917,0.475
372,4507,23940,0.476
721,4940,23960,0.477
567,4755,24003,0.478
405,4545,24024,0.479
107,4172,24100,0.48
591,4785,24224,0.481
136,4201,24362,0.482
616,4818,24419,0.483
424,4577,24492,0.484
617,4819,24509,0.485
573,4759,24549,0.486
683,4898,24637,0.487
680,4895,24729,0.488
134,4195,24755,0.489
220,4308,24846,0.49
158,4215,24937,0.491
214,4301,25122,0.492
631,4832,25159,0.493
226,4313,25185,0.494
341,4474,25293,0.495
326,4458,25488,0.496
447,4608,25582,0.497
80,4108,25623,0.498
75,4102,25808,0.499
667,4882,26396,0.5
474,4636,26491,0.501
441,4597,26876,0.502
744,4995,26953,0.503
171,4237,27025,0.504
207,4281,27138,0.505
523,4687,27208,0.506
201,4274,27238,0.507
376,4505,27309,0.508
658,4858,27487,0.509
334,4466,27986,0.51
94,4124,28043,0.511
232,4309,28321,0.512
610,4798,28863,0.513
305,4422,28902,0.514
490,4651,29003,0.515
387,4509,29055,0.516
365,4489,29647,0.517
544,4701,29649,0.518
103,4142,29654,0.519
99,4132,29731,0.52
530,4688,29769,0.521
310,4429,29835,0.522
46,4042,30074,0.523
69,4081,30342,0.524
205,4267,30530,0.525
561,4727,30645,0.526
39,4031,31355,0.527
61,4066,31518,0.528
621,4810,31599,0.529
444,4591,31861,0.53
738,4965,32009,0.531
542,4691,32108,0.532
264,4357,32141,0.533
727,4915,32311,0.534
301,4414,32342,0.535
124,4175,32494,0.536
117,4161,32618,0.537
141,4189,32855,0.538
491,4640,33090,0.539
349,4467,33448,0.54
695,4891,33632,0.541
749,4986,33677,0.542
717,4907,33964,0.543
741,4974,33999,0.544
348,4465,34060,0.545
478,4621,34579,0.546
359,4475,34855,0.547
186,4232,34918,0.548
98,4113,34981,0.549
495,4638,35394,0.55
460,4601,35441,0.551
72,4071,35688,0.552
213,4260,35774,0.553
161,4197,35837,0.554
323,4442,35968,0.555
176,4210,36167,0.556
737,4947,36214,0.557
70,4068,36491,0.558
751,4988,36569,0.559
572,4721,36643,0.56
733,4931,36808,0.561
656,4824,37077,0.562
676,4857,37163,0.563
246,4307,37523,0.564
592,4749,37713,0.565
163,4191,38037,0.566
538,4675,38223,0.567
457,4593,38322,0.568
30,4002,38367,0.569
408,4517,38465,0.57
605,4774,38531,0.571
277,4364,38535,0.572
261,4334,38580,0.573
596,4758,38745,0.574
66,4057,38774,0.575
54,4044,39137,0.576
753,4998,39887,0.577
234,4269,40063,0.578
273,4347,40253,0.579
570,4711,40376,0.58
398,4502,40571,0.581
112,4136,40787,0.582
253,4312,40803,0.583
551,4685,40959,0.584
40,4015,41252,0.585
255,4316,41597,0.586
615,4777,41968,0.587
104,4116,42021,0.588
582,4724,42149,0.589
464,4592,42378,0.59
574,4707,42430,0.591
508,4634,43380,0.592
145,4168,43482,0.593
335,4440,43947,0.594
290,4379,44171,0.595
742,4939,45107,0.596
240,4266,45261,0.597
755,4992,45309,0.598
521,4644,46072,0.599
756,4997,46231,0.6
175,4187,46579,0.601
550,4672,46846,0.602
746,4942,47012,0.603
278,4340,47379,0.604
418,4508,47649,0.605
331,4419,47796,0.606
63,4035,47821,0.607
723,4877,48111,0.608
537,4653,48158,0.609
748,4949,48175,0.61
450,4555,48454,0.611
470,4586,48693,0.612
564,4678,49126,0.613
202,4208,49499,0.614
154,4153,49904,0.615
655,4790,50029,0.616
611,4744,50124,0.617
265,4304,50422,0.618
115,4112,50762,0.619
225,4233,51220,0.62
476,4589,51260,0.621
691,4833,51635,0.622
123,4121,51753,0.623
715,4860,51813,0.624
728,4881,52068,0.625
743,4919,52271,0.626
342,4424,52295,0.627
555,4662,52413,0.628
360,4448,53043,0.629
227,4229,53434,0.63
696,4834,53551,0.631
511,4615,53738,0.632
726,4865,53838,0.633
312,4388,53860,0.634
705,4848,53959,0.635
704,4844,54026,0.636
438,4518,54299,0.637
675,4811,54472,0.638
533,4629,54905,0.639
