,job id,time (hours),cdf
497,4736,1983,0.001
44,4109,2113,0.002
449,4666,2119,0.003
599,4855,2125,0.004
0,4008,2156,0.005
207,4351,2167,0.006
219,4375,2170,0.007
636,4904,2171,0.008
495,4735,2182,0.009
617,4888,2189,0.01
534,4778,2200,0.011
270,4438,2209,0.012
446,4661,2237,0.013
81,4178,2256,0.014
582,4827,2257,0.015
421,4618,2282,0.016
387,4582,2322,0.017
478,4705,2342,0.018
429,4624,2343,0.019
378,4572,2360,0.02
127,4247,2372,0.021
593,4851,2376,0.022
656,4927,2404,0.023
33,4091,2406,0.024
160,4289,2429,0.025
451,4668,2456,0.026
368,4560,2462,0.027
673,4955,2469,0.028
84,4181,2471,0.029
592,4841,2483,0.03
708,4990,2485,0.031
549,4791,2492,0.032
161,4292,2509,0.033
517,4760,2517,0.034
343,4528,2522,0.035
367,4557,2531,0.036
52,4119,2538,0.037
1,4007,2542,0.038
201,4345,2575,0.039
648,4908,2583,0.04
596,4853,2605,0.041
3,4018,2608,0.042
231,4385,2641,0.043
709,4993,2647,0.044
455,4673,2678,0.045
364,4551,2681,0.046
354,4542,2711,0.047
686,4971,2713,0.048
337,4519,2719,0.049
603,4859,2725,0.05
260,4418,2734,0.051
319,4497,2744,0.052
435,4641,2748,0.053
610,4872,2749,0.054
24,4065,2759,0.055
82,4179,2766,0.056
518,4757,2767,0.057
77,4169,2771,0.058
9,4034,2782,0.059
107,4212,2817,0.06
555,4793,2826,0.061
210,4353,2830,0.062
668,4948,2835,0.063
287,4452,2839,0.064
695,4979,2854,0.065
225,4378,2859,0.066
546,4784,2863,0.067
129,4249,2902,0.068
266,4425,2907,0.069
232,4386,2911,0.07
288,4455,2920,0.071
332,4514,2939,0.072
577,4817,2942,0.073
559,4809,2948,0.074
713,4999,2949,0.075
482,4702,2960,0.076
58,4135,2992,0.077
342,4527,3000,0.078
112,4235,3015,0.079
573,4813,3036,0.08
483,4704,3045,0.081
710,4991,3050,0.082
53,4127,3072,0.083
253,4408,3154,0.084
642,4905,3185,0.0855
445,4655,3185,0.0855
698,4981,3204,0.087
25,4067,3211,0.088
100,4198,3212,0.089
23,4064,3218,0.09
516,4752,3228,0.091
145,4272,3239,0.092
258,4415,3242,0.093
432,4632,3261,0.094
215,4362,3296,0.095
