,job id,time (hours),cdf
66,4119,197538,0.001
29,4065,197759,0.002
33,4070,198236,0.003
60,4109,198313,0.004
31,4067,198511,0.005
45,4091,198606,0.006
69,4127,198672,0.007
30,4064,198818,0.008
23,4056,199069,0.009
4,4018,199108,0.01
21,4050,199268,0.011
0,4008,199556,0.012
64,4107,199575,0.013
1,4007,199642,0.014
62,4105,199658,0.015
22,4052,199745,0.016
40,4080,199758,0.017
11,4034,199882,0.018
20,4047,200425,0.019
38,4077,200679,0.02
36,4075,200903,0.021
58,4100,201593,0.022
13,4030,201682,0.023
15,4039,201829,0.024
70,4122,201900,0.025
5,4019,202261,0.026
57,4096,202535,0.027
2,4003,202571,0.028
3,4004,202817,0.029
61,4099,202860,0.03
35,4061,203183,0.031
17,4038,203193,0.032
94,4148,203313,0.033
55,4093,203597,0.034
63,4098,203935,0.035
79,4135,203992,0.036
50,4087,204389,0.037
18,4033,204674,0.038
14,4027,204723,0.039
27,4049,204744,0.04
6,4014,204800,0.041
75,4131,204942,0.042
83,4137,205033,0.043
34,4053,205147,0.044
8,4020,205227,0.045
24,4045,205625,0.046
96,4154,205647,0.047
72,4120,205861,0.048
48,4079,205934,0.049
19,4032,206126,0.05
56,4085,207237,0.051
47,4074,208147,0.052
37,4055,208423,0.053
104,4160,208757,0.054
81,4128,209006,0.055
44,4062,209089,0.056
88,4134,209126,0.057
105,4162,209200,0.058
7,4010,209256,0.059
52,4076,209403,0.06
74,4110,209654,0.061
110,4169,209771,0.062
90,4133,209777,0.063
77,4117,209945,0.064
85,4129,210060,0.065
134,4198,210212,0.066
136,4200,210850,0.067
139,4205,211240,0.068
12,4011,211787,0.069
97,4139,211808,0.07
9,4005,211915,0.071
146,4212,212217,0.072
115,4178,212256,0.073
32,4040,212269,0.074
112,4167,212322,0.075
102,4146,212355,0.076
141,4207,212542,0.077
106,4149,212716,0.078
111,4158,212781,0.079
67,4082,212959,0.08
92,4130,213175,0.081
117,4180,213216,0.082
91,4126,213263,0.083
109,4152,213279,0.084
116,4179,213366,0.085
118,4181,213371,0.086
114,4165,214228,0.087
107,4145,214249,0.088
51,4059,214412,0.089
10,4001,214570,0.09
43,4048,214690,0.091
113,4157,214822,0.092
101,4141,214913,0.093
25,4026,215005,0.094
152,4225,215262,0.095
126,4183,215301,0.096
42,4046,215464,0.097
41,4043,215686,0.098
119,4174,215782,0.099
120,4170,216218,0.1
131,4185,216438,0.101
68,4073,216602,0.102
124,4176,216677,0.103
16,4006,217011,0.104
140,4190,217340,0.105
86,4106,217683,0.106
28,4024,218220,0.107
128,4182,218386,0.108
65,4060,218506,0.109
121,4156,218822,0.11
26,4021,218972,0.111
155,4216,219310,0.112
147,4199,219417,0.113
157,4219,219558,0.114
127,4171,220107,0.115
172,4247,220172,0.116
160,4235,220515,0.117
158,4218,220566,0.118
174,4249,220702,0.119
175,4250,220787,0.12
187,4261,220822,0.121
188,4264,220897,0.122
207,4289,221129,0.123
161,4231,221179,0.124
210,4292,221509,0.125
95,4108,221523,0.126
178,4251,221666,0.127
148,4192,221834,0.128
209,4288,222228,0.129
93,4102,222308,0.13
208,4286,222463,0.131
151,4204,222507,0.132
196,4272,222839,0.133
201,4273,223173,0.134
170,4239,223305,0.135
173,4241,223489,0.136
222,4306,223568,0.137
197,4268,223838,0.138
218,4300,223937,0.139
100,4124,223943,0.14
206,4279,224066,0.141
132,4166,224111,0.142
180,4246,224188,0.143
214,4294,224231,0.144
168,4234,224564,0.145
103,4123,224621,0.1465
215,4293,224621,0.1465
171,4238,224634,0.148
199,4262,224990,0.149
183,4245,225023,0.15
219,4297,225190,0.151
189,4254,225240,0.152
166,4222,225354,0.153
202,4266,225561,0.154
320,4418,225634,0.155
327,4423,225773,0.156
59,4042,225974,0.157
236,4321,226210,0.158
231,4311,226323,0.159
125,4143,226356,0.16
329,4425,226407,0.161
192,4255,226630,0.162
319,4415,226742,0.163
223,4298,226890,0.164
230,4305,226920,0.165
200,4259,227026,0.166
225,4299,227152,0.167
353,4452,227239,0.168
49,4031,227255,0.169
193,4257,227263,0.17
