,job id,time (hours),cdf
61,4109,2113,0.001
541,4666,2119,0.002
717,4855,2125,0.003
0,4008,2156,0.004
251,4351,2167,0.005
210,4306,2168,0.006
267,4375,2170,0.007
765,4904,2171,0.008
602,4735,2182,0.009
742,4888,2189,0.01
644,4778,2200,0.011
333,4438,2209,0.012
538,4661,2237,0.013
101,4178,2256,0.014
698,4827,2257,0.015
786,4923,2272,0.016
506,4618,2282,0.017
606,4736,2283,0.018
524,4643,2293,0.019
466,4582,2322,0.02
577,4705,2342,0.021
516,4624,2343,0.022
281,4383,2345,0.023
453,4572,2360,0.024
737,4880,2361,0.025
161,4247,2372,0.026
711,4851,2376,0.027
787,4927,2404,0.028
45,4091,2406,0.029
198,4289,2429,0.03
543,4668,2456,0.031
805,4955,2469,0.032
104,4181,2471,0.033
744,4890,2477,0.034
709,4841,2483,0.035
846,4990,2485,0.036
662,4791,2492,0.037
199,4292,2509,0.038
416,4528,2522,0.039
246,4346,2528,0.04
441,4557,2531,0.041
205,4300,2537,0.042
68,4119,2538,0.043
652,4783,2541,0.044
1,4007,2542,0.045
325,4423,2573,0.046
244,4345,2575,0.047
778,4908,2583,0.048
714,4853,2605,0.049
4,4018,2608,0.05
33,4070,2636,0.051
284,4385,2641,0.052
848,4993,2647,0.053
551,4673,2678,0.054
438,4551,2681,0.055
427,4542,2711,0.056
823,4971,2713,0.057
404,4519,2719,0.058
723,4859,2725,0.059
321,4418,2734,0.06
385,4497,2744,0.061
527,4641,2748,0.062
731,4872,2749,0.063
597,4726,2751,0.064
31,4065,2759,0.065
443,4560,2762,0.066
103,4179,2766,0.067
627,4757,2767,0.068
96,4169,2771,0.069
11,4034,2782,0.07
309,4406,2783,0.071
628,4760,2817,0.0725
137,4212,2817,0.0725
667,4793,2826,0.074
255,4353,2830,0.075
800,4948,2835,0.076
349,4452,2839,0.077
833,4979,2854,0.078
273,4378,2859,0.079
657,4784,2863,0.08
22,4056,2869,0.081
164,4249,2902,0.082
328,4425,2907,0.083
285,4386,2911,0.084
351,4455,2920,0.085
399,4514,2939,0.086
690,4817,2942,0.087
672,4809,2948,0.088
852,4999,2949,0.089
578,4702,2960,0.09
165,4250,2987,0.091
74,4135,2992,0.092
413,4527,3000,0.093
143,4235,3015,0.094
686,4813,3036,0.095
582,4704,3045,0.096
374,4480,3046,0.097
850,4991,3050,0.098
809,4956,3057,0.099
69,4127,3072,0.1
528,4646,3092,0.101
310,4408,3154,0.102
770,4905,3185,0.1035
537,4655,3185,0.1035
835,4981,3204,0.105
32,4067,3211,0.106
129,4198,3212,0.107
105,4180,3216,0.108
30,4064,3218,0.109
625,4752,3228,0.11
183,4272,3239,0.111
316,4415,3242,0.112
130,4200,3250,0.113
520,4632,3261,0.114
233,4330,3285,0.115
302,4396,3287,0.116
259,4362,3296,0.117
642,4775,3345,0.118
548,4671,3352,0.119
21,4050,3368,0.12
64,4107,3375,0.121
388,4501,3412,0.122
305,4401,3414,0.123
827,4977,3442,0.124
339,4444,3470,0.125
463,4578,3479,0.126
464,4579,3510,0.127
299,4394,3517,0.128
702,4829,3519,0.129
14,4039,3529,0.13
356,4462,3548,0.131
40,4080,3558,0.132
168,4251,3566,0.133
185,4273,3573,0.134
37,4077,3579,0.135
634,4773,3612,0.136
564,4684,3624,0.137
583,4700,3638,0.138
133,4205,3640,0.139
485,4598,3645,0.14
307,4405,3646,0.141
673,4808,3657,0.142
272,4372,3658,0.143
297,4393,3662,0.144
236,4338,3687,0.145
76,4137,3733,0.146
63,4105,3758,0.147
197,4286,3763,0.148
277,4376,3781,0.149
783,4916,3788,0.15
592,4718,3799,0.151
409,4523,3831,0.152
624,4747,3852,0.153
693,4816,3877,0.154
576,4695,3882,0.155
486,4599,3884,0.156
454,4567,3892,0.157
354,4457,3895,0.158
773,4906,3905,0.159
224,4321,3910,0.16
178,4261,3922,0.161
296,4391,3943,0.162
637,4772,3964,0.163
612,4739,3970,0.164
764,4897,3997,0.1655
179,4264,3997,0.1655
98,4162,4000,0.167
734,4870,4022,0.168
821,4968,4107,0.169
437,4547,4112,0.17
90,4148,4113,0.171
819,4964,4128,0.172
816,4962,4151,0.173
382,4493,4177,0.174
589,4715,4183,0.175
675,4805,4190,0.176
56,4100,4193,0.177
560,4677,4200,0.178
845,4983,4203,0.179
20,4047,4225,0.18
631,4764,4228,0.181
249,4343,4254,0.182
400,4513,4266,0.183
308,4402,4268,0.184
145,4231,4279,0.185
149,4239,4305,0.186
370,4473,4306,0.187
369,4472,4321,0.188
218,4311,4323,0.189
496,4612,4329,0.19
768,4899,4343,0.191
559,4676,4361,0.192
36,4075,4403,0.193
202,4288,4428,0.194
24,4052,4445,0.195
97,4160,4457,0.1965
633,4762,4457,0.1965
241,4339,4474,0.198
512,4619,4480,0.199
726,4862,4488,0.2
269,4369,4513,0.201
335,4431,4559,0.202
533,4650,4595,0.203
706,4830,4619,0.204
530,4648,4630,0.205
204,4294,4631,0.206
144,4225,4662,0.207
426,4537,4721,0.208
811,4952,4732,0.209
193,4279,4766,0.21
415,4525,4810,0.211
670,4792,4866,0.212
529,4639,4911,0.213
730,4866,4928,0.214
424,4534,4939,0.215
632,4756,4948,0.216
411,4524,4964,0.217
456,4564,4995,0.218
102,4167,5022,0.219
858,4994,5030,0.22
229,4322,5082,0.221
384,4492,5104,0.222
2,4004,5117,0.223
604,4728,5123,0.224
73,4131,5142,0.225
540,4657,5154,0.226
59,4099,5160,0.227
600,4720,5163,0.228
136,4207,5242,0.229
381,4487,5288,0.23
209,4297,5290,0.231
120,4183,5301,0.232
450,4559,5307,0.233
796,4937,5338,0.234
590,4710,5347,0.235
720,4852,5370,0.236
566,4681,5408,0.237
3,4003,5471,0.238
793,4925,5475,0.239
17,4038,5493,0.24
721,4850,5501,0.241
358,4459,5504,0.242
95,4154,5547,0.243
666,4786,5557,0.244
585,4697,5560,0.245
743,4883,5569,0.246
154,4238,5634,0.247
746,4886,5646,0.248
789,4918,5648,0.249
498,4611,5650,0.25
766,4893,5667,0.251
671,4799,5670,0.252
716,4845,5683,0.253
593,4714,5700,0.254
546,4664,5804,0.255
220,4305,5820,0.256
380,4485,5827,0.257
682,4804,5831,0.258
611,4730,5863,0.259
442,4548,5868,0.26
412,4520,5891,0.261
775,4901,5896,0.262
383,4490,5909,0.263
799,4938,5914,0.264
207,4293,5921,0.265
733,4867,5933,0.266
163,4241,5989,0.267
448,4553,6025,0.268
188,4268,6038,0.269
620,4737,6043,0.27
216,4299,6052,0.271
5,4019,6061,0.272
170,4246,6088,0.273
470,4575,6175,0.274
337,4427,6253,0.275
261,4356,6264,0.276
630,4745,6265,0.277
807,4944,6273,0.278
769,4894,6283,0.279
300,4390,6329,0.28
57,4096,6335,0.281
226,4318,6354,0.282
523,4627,6514,0.283
361,4460,6540,0.284
762,4892,6569,0.285
719,4842,6599,0.286
169,4245,6623,0.287
106,4165,6628,0.288
797,4932,6672,0.289
15,4030,6682,0.29
215,4298,6690,0.291
701,4822,6780,0.292
405,4510,6797,0.293
728,4856,6834,0.294
735,4863,6844,0.295
591,4703,6948,0.296
109,4174,6982,0.297
283,4370,6989,0.298
355,4454,7037,0.299
223,4310,7123,0.3
544,4659,7129,0.301
419,4522,7156,0.302
700,4821,7175,0.303
118,4182,7186,0.304
429,4531,7191,0.305
71,4122,7200,0.306
741,4874,7209,0.307
35,4061,7283,0.3085
250,4336,7283,0.3085
49,4087,7289,0.31
608,4719,7314,0.311
594,4708,7322,0.312
526,4625,7329,0.313
124,4185,7338,0.314
156,4234,7364,0.315
280,4363,7369,0.316
393,4499,7387,0.317
619,4734,7397,0.318
536,4645,7412,0.319
505,4613,7424,0.32
352,4449,7444,0.321
806,4940,7460,0.322
481,4588,7497,0.323
572,4686,7546,0.324
