,job id,time (hours),cdf
608,4726,951,0.001
213,4306,968,0.002
250,4346,1028,0.003
207,4300,1037,0.004
807,4923,1072,0.005
532,4643,1093,0.006
34,4070,1136,0.007
285,4383,1145,0.008
758,4880,1161,0.009
161,4250,1187,0.01
381,4480,1246,0.011
832,4956,1257,0.012
23,4050,1268,0.013
312,4406,1283,0.014
534,4646,1292,0.015
664,4783,1341,0.016
27,4056,1369,0.017
327,4423,1373,0.018
108,4180,1416,0.019
131,4200,1450,0.02
304,4396,1487,0.021
553,4666,1519,0.022
588,4700,1538,0.023
767,4890,1577,0.024
873,4990,1585,0.025
748,4870,1622,0.026
571,4676,1661,0.027
422,4523,1731,0.028
40,4080,1758,0.029
237,4330,1785,0.03
53,4100,1793,0.031
868,4983,1803,0.032
787,4906,1805,0.033
248,4343,1854,0.034
606,4720,1863,0.035
541,4650,1895,0.036
731,4850,1901,0.037
280,4376,1981,0.038
616,4736,1983,0.039
62,4109,2113,0.04
738,4855,2125,0.041
1,4008,2156,0.042
260,4351,2167,0.043
279,4375,2170,0.044
786,4904,2171,0.0455
0,4003,2171,0.0455
614,4735,2182,0.047
766,4888,2189,0.048
657,4778,2200,0.049
335,4438,2209,0.05
719,4830,2219,0.051
550,4661,2237,0.052
636,4756,2248,0.053
109,4178,2256,0.054
717,4827,2257,0.055
520,4618,2282,0.056
423,4520,2291,0.057
117,4183,2301,0.058
479,4582,2322,0.059
592,4705,2342,0.06
528,4624,2343,0.061
470,4572,2360,0.062
165,4247,2372,0.063
734,4851,2376,0.064
811,4927,2404,0.065
47,4091,2406,0.066
202,4289,2429,0.067
49,4096,2435,0.068
557,4668,2456,0.069
459,4560,2462,0.07
834,4955,2469,0.071
113,4181,2471,0.072
729,4841,2483,0.073
274,4370,2489,0.074
679,4791,2492,0.075
204,4292,2509,0.076
638,4760,2517,0.077
432,4528,2522,0.078
457,4557,2531,0.079
68,4119,2538,0.08
2,4007,2542,0.081
612,4730,2563,0.082
761,4883,2569,0.083
254,4345,2575,0.084
800,4908,2583,0.085
805,4916,2588,0.086
736,4853,2605,0.087
4,4018,2608,0.088
291,4386,2611,0.089
292,4385,2641,0.09
879,4993,2647,0.091
709,4816,2677,0.092
563,4673,2678,0.093
454,4551,2681,0.094
440,4542,2711,0.095
852,4971,2713,0.096
425,4519,2719,0.097
743,4859,2725,0.098
325,4418,2734,0.099
398,4497,2744,0.1
538,4641,2748,0.101
754,4872,2749,0.102
36,4065,2759,0.103
111,4179,2766,0.104
640,4757,2767,0.105
102,4169,2771,0.106
14,4034,2782,0.107
163,4246,2788,0.108
396,4496,2806,0.109
141,4212,2817,0.11
682,4793,2826,0.111
264,4353,2830,0.112
827,4948,2835,0.113
357,4452,2839,0.114
863,4979,2854,0.115
284,4378,2859,0.116
671,4784,2863,0.117
168,4249,2902,0.118
330,4425,2907,0.119
358,4455,2920,0.12
741,4856,2934,0.121
416,4514,2939,0.122
710,4817,2942,0.123
745,4863,2944,0.124
688,4809,2948,0.125
885,4999,2949,0.126
593,4702,2960,0.127
265,4356,2964,0.128
847,4970,2971,0.129
826,4946,2986,0.13
81,4135,2992,0.131
430,4527,3000,0.132
147,4235,3015,0.133
703,4813,3036,0.134
595,4704,3045,0.135
597,4703,3048,0.136
881,4991,3050,0.137
71,4127,3072,0.138
112,4176,3077,0.139
13,4030,3082,0.14
316,4408,3154,0.141
271,4363,3169,0.142
549,4655,3185,0.1435
793,4905,3185,0.1435
866,4981,3204,0.145
37,4067,3211,0.146
134,4198,3212,0.147
107,4170,3218,0.1485
35,4064,3218,0.1485
635,4752,3228,0.15
185,4272,3239,0.151
321,4415,3242,0.152
531,4632,3261,0.153
272,4362,3296,0.154
6,4020,3327,0.155
653,4775,3345,0.156
560,4671,3352,0.157
65,4107,3375,0.158
577,4683,3399,0.159
402,4501,3412,0.16
311,4401,3414,0.161
746,4866,3428,0.162
858,4977,3442,0.163
201,4286,3463,0.164
344,4444,3470,0.165
477,4578,3479,0.166
478,4579,3510,0.167
307,4394,3517,0.168
722,4829,3519,0.169
18,4039,3529,0.17
365,4462,3548,0.171
170,4251,3566,0.172
188,4273,3573,0.173
42,4077,3579,0.174
647,4773,3612,0.175
578,4684,3624,0.176
138,4205,3640,0.177
495,4598,3645,0.178
315,4405,3646,0.179
689,4808,3657,0.18
283,4372,3658,0.181
305,4393,3662,0.182
245,4338,3687,0.183
453,4550,3723,0.184
84,4137,3733,0.185
64,4105,3758,0.186
762,4876,3777,0.187
607,4718,3799,0.188
462,4556,3826,0.189
845,4963,3847,0.19
634,4747,3852,0.191
100,4160,3857,0.192
732,4843,3869,0.193
591,4695,3882,0.194
496,4599,3884,0.195
471,4567,3892,0.196
361,4457,3895,0.197
233,4321,3910,0.198
180,4261,3922,0.199
303,4391,3943,0.2
69,4120,3961,0.201
649,4772,3964,0.202
622,4739,3970,0.203
785,4897,3997,0.2045
182,4264,3997,0.2045
104,4162,4000,0.206
849,4968,4107,0.207
390,4490,4109,0.208
452,4547,4112,0.209
96,4148,4113,0.21
846,4964,4128,0.211
842,4962,4151,0.212
394,4493,4177,0.213
604,4715,4183,0.214
691,4805,4190,0.215
574,4677,4200,0.216
24,4047,4225,0.217
644,4764,4228,0.218
302,4390,4229,0.219
596,4696,4235,0.22
599,4706,4254,0.221
417,4513,4266,0.222
314,4402,4268,0.223
149,4231,4279,0.224
154,4239,4305,0.225
378,4473,4306,0.226
376,4472,4321,0.227
226,4311,4323,0.228
509,4612,4329,0.229
789,4899,4343,0.23
41,4075,4403,0.231
209,4288,4428,0.232
30,4052,4445,0.233
