,job id,time (hours),cdf
608,4726,951,0.001
213,4306,968,0.002
251,4346,1028,0.003
207,4300,1037,0.004
805,4923,1072,0.005
532,4643,1093,0.006
34,4070,1136,0.007
285,4383,1145,0.008
161,4250,1187,0.009
381,4480,1246,0.01
830,4956,1257,0.011
23,4050,1268,0.012
313,4406,1283,0.013
534,4646,1292,0.014
665,4783,1341,0.015
26,4056,1369,0.016
328,4423,1373,0.017
107,4180,1416,0.018
131,4200,1450,0.019
553,4666,1519,0.02
588,4700,1538,0.021
766,4890,1577,0.022
871,4990,1585,0.023
276,4376,1681,0.024
41,4080,1758,0.025
756,4880,1761,0.026
237,4330,1785,0.027
305,4396,1787,0.028
53,4100,1793,0.029
865,4983,1803,0.03
787,4906,1805,0.031
249,4343,1854,0.032
747,4870,1922,0.033
616,4736,1983,0.034
422,4523,2031,0.035
61,4109,2113,0.036
738,4855,2125,0.037
1,4008,2156,0.038
260,4351,2167,0.039
278,4375,2170,0.04
784,4904,2171,0.0415
0,4003,2171,0.0415
614,4735,2182,0.043
765,4888,2189,0.044
658,4778,2200,0.045
335,4438,2209,0.046
718,4830,2219,0.047
549,4661,2237,0.048
637,4756,2248,0.049
108,4178,2256,0.05
716,4827,2257,0.051
572,4676,2261,0.052
519,4618,2282,0.053
117,4183,2301,0.054
479,4582,2322,0.055
590,4705,2342,0.056
528,4624,2343,0.057
471,4572,2360,0.058
165,4247,2372,0.059
729,4851,2376,0.06
807,4927,2404,0.061
47,4091,2406,0.062
201,4289,2429,0.063
49,4096,2435,0.064
557,4668,2456,0.065
459,4560,2462,0.066
607,4720,2463,0.067
833,4955,2469,0.068
111,4181,2471,0.069
726,4841,2483,0.07
163,4246,2488,0.071
677,4791,2492,0.072
204,4292,2509,0.073
639,4760,2517,0.074
432,4528,2522,0.075
457,4557,2531,0.076
68,4119,2538,0.077
2,4007,2542,0.078
612,4730,2563,0.079
761,4883,2569,0.08
254,4345,2575,0.081
799,4908,2583,0.082
804,4916,2588,0.083
424,4520,2591,0.084
736,4853,2605,0.085
4,4018,2608,0.086
291,4386,2611,0.087
292,4385,2641,0.088
877,4993,2647,0.089
709,4816,2677,0.09
562,4673,2678,0.091
453,4551,2681,0.092
440,4542,2711,0.093
848,4971,2713,0.094
423,4519,2719,0.095
743,4859,2725,0.096
325,4418,2734,0.097
399,4497,2744,0.098
538,4641,2748,0.099
753,4872,2749,0.1
36,4065,2759,0.101
110,4179,2766,0.102
641,4757,2767,0.103
104,4169,2771,0.104
14,4034,2782,0.105
275,4370,2789,0.106
542,4650,2795,0.107
732,4850,2801,0.108
141,4212,2817,0.109
683,4793,2826,0.11
264,4353,2830,0.111
825,4948,2835,0.112
355,4452,2839,0.113
858,4979,2854,0.114
284,4378,2859,0.115
674,4784,2863,0.116
168,4249,2902,0.117
331,4425,2907,0.118
358,4455,2920,0.119
740,4856,2934,0.12
414,4514,2939,0.121
710,4817,2942,0.122
744,4863,2944,0.123
690,4809,2948,0.124
883,4999,2949,0.125
593,4702,2960,0.126
265,4356,2964,0.127
79,4135,2992,0.128
430,4527,3000,0.129
147,4235,3015,0.13
703,4813,3036,0.131
596,4704,3045,0.132
595,4703,3048,0.133
879,4991,3050,0.134
71,4127,3072,0.135
13,4030,3082,0.136
398,4496,3106,0.137
317,4408,3154,0.138
270,4363,3169,0.139
790,4905,3185,0.1405
548,4655,3185,0.1405
862,4981,3204,0.142
37,4067,3211,0.143
134,4198,3212,0.144
35,4064,3218,0.145
636,4752,3228,0.146
185,4272,3239,0.147
322,4415,3242,0.148
531,4632,3261,0.149
271,4362,3296,0.15
654,4775,3345,0.151
560,4671,3352,0.152
65,4107,3375,0.153
577,4683,3399,0.154
402,4501,3412,0.155
312,4401,3414,0.156
745,4866,3428,0.157
854,4977,3442,0.158
200,4286,3463,0.159
343,4444,3470,0.16
760,4876,3477,0.161
477,4578,3479,0.162
478,4579,3510,0.163
307,4394,3517,0.164
720,4829,3519,0.165
18,4039,3529,0.166
365,4462,3548,0.167
170,4251,3566,0.168
846,4970,3571,0.169
187,4273,3573,0.17
42,4077,3579,0.171
824,4946,3586,0.172
648,4773,3612,0.173
578,4684,3624,0.174
6,4020,3627,0.175
138,4205,3640,0.176
495,4598,3645,0.177
315,4405,3646,0.178
692,4808,3657,0.179
283,4372,3658,0.18
304,4393,3662,0.181
112,4176,3677,0.182
246,4338,3687,0.183
454,4550,3723,0.184
82,4137,3733,0.185
63,4105,3758,0.186
606,4718,3799,0.187
635,4747,3852,0.188
100,4160,3857,0.189
592,4695,3882,0.19
497,4599,3884,0.191
470,4567,3892,0.192
361,4457,3895,0.193
234,4321,3910,0.194
179,4261,3922,0.195
594,4696,3935,0.196
302,4391,3943,0.197
650,4772,3964,0.198
622,4739,3970,0.199
182,4264,3997,0.2005
785,4897,3997,0.2005
102,4162,4000,0.202
844,4968,4107,0.203
452,4547,4112,0.204
96,4148,4113,0.205
842,4964,4128,0.206
843,4963,4147,0.207
840,4962,4151,0.208
395,4493,4177,0.209
603,4715,4183,0.21
691,4805,4190,0.211
574,4677,4200,0.212
24,4047,4225,0.213
645,4764,4228,0.214
303,4390,4229,0.215
415,4513,4266,0.216
316,4402,4268,0.217
149,4231,4279,0.218
154,4239,4305,0.219
378,4473,4306,0.22
376,4472,4321,0.221
225,4311,4323,0.222
509,4612,4329,0.223
788,4899,4343,0.224
40,4075,4403,0.225
389,4490,4409,0.226
462,4556,4426,0.227
208,4288,4428,0.228
30,4052,4445,0.229
646,4762,4457,0.23
731,4843,4469,0.231
252,4339,4474,0.232
523,4619,4480,0.233
748,4862,4488,0.234
