,job id,time (hours),cdf
605,4726,951,0.001
213,4306,968,0.002
251,4346,1028,0.003
209,4300,1037,0.004
805,4923,1072,0.005
529,4643,1093,0.006
34,4070,1136,0.007
285,4383,1145,0.008
755,4880,1161,0.009
161,4250,1187,0.01
381,4480,1246,0.011
830,4956,1257,0.012
23,4050,1268,0.013
313,4406,1283,0.014
531,4646,1292,0.015
664,4783,1341,0.016
27,4056,1369,0.017
328,4423,1373,0.018
276,4376,1381,0.019
108,4180,1416,0.02
131,4200,1450,0.021
305,4396,1487,0.022
550,4666,1519,0.023
585,4700,1538,0.024
764,4890,1577,0.025
870,4990,1585,0.026
744,4870,1622,0.027
568,4676,1661,0.028
421,4523,1731,0.029
40,4080,1758,0.03
237,4330,1785,0.031
53,4100,1793,0.032
866,4983,1803,0.033
785,4906,1805,0.034
249,4343,1854,0.035
603,4720,1863,0.036
539,4650,1895,0.037
728,4850,1901,0.038
613,4736,1983,0.039
61,4109,2113,0.04
735,4855,2125,0.041
1,4008,2156,0.042
260,4351,2167,0.043
278,4375,2170,0.044
0,4003,2171,0.0455
782,4904,2171,0.0455
611,4735,2182,0.047
162,4246,2188,0.048
763,4888,2189,0.049
655,4778,2200,0.05
336,4438,2209,0.051
716,4830,2219,0.052
547,4661,2237,0.053
634,4756,2248,0.054
109,4178,2256,0.055
714,4827,2257,0.056
518,4618,2282,0.057
422,4520,2291,0.058
117,4183,2301,0.059
477,4582,2322,0.06
588,4705,2342,0.061
525,4624,2343,0.062
469,4572,2360,0.063
165,4247,2372,0.064
731,4851,2376,0.065
808,4927,2404,0.066
47,4091,2406,0.067
204,4289,2429,0.068
49,4096,2435,0.069
554,4668,2456,0.07
457,4560,2462,0.071
833,4955,2469,0.072
113,4181,2471,0.073
726,4841,2483,0.074
274,4370,2489,0.075
675,4791,2492,0.076
205,4292,2509,0.077
638,4760,2517,0.078
431,4528,2522,0.079
454,4557,2531,0.08
68,4119,2538,0.081
2,4007,2542,0.082
609,4730,2563,0.083
759,4883,2569,0.084
254,4345,2575,0.085
797,4908,2583,0.086
804,4916,2588,0.087
733,4853,2605,0.088
4,4018,2608,0.089
292,4386,2611,0.09
291,4385,2641,0.091
876,4993,2647,0.092
706,4816,2677,0.093
559,4673,2678,0.094
451,4551,2681,0.095
439,4542,2711,0.096
850,4971,2713,0.097
423,4519,2719,0.098
741,4859,2725,0.099
325,4418,2734,0.1
398,4497,2744,0.101
535,4641,2748,0.102
752,4872,2749,0.103
36,4065,2759,0.104
111,4179,2766,0.105
639,4757,2767,0.106
104,4169,2771,0.107
15,4034,2782,0.108
396,4496,2806,0.109
141,4212,2817,0.11
681,4793,2826,0.111
264,4353,2830,0.112
825,4948,2835,0.113
356,4452,2839,0.114
859,4979,2854,0.115
284,4378,2859,0.116
672,4784,2863,0.117
168,4249,2902,0.118
331,4425,2907,0.119
357,4455,2920,0.12
739,4856,2934,0.121
415,4514,2939,0.122
707,4817,2942,0.123
742,4863,2944,0.124
687,4809,2948,0.125
882,4999,2949,0.126
591,4702,2960,0.127
265,4356,2964,0.128
847,4970,2971,0.129
824,4946,2986,0.13
82,4135,2992,0.131
429,4527,3000,0.132
147,4235,3015,0.133
701,4813,3036,0.134
594,4704,3045,0.135
593,4703,3048,0.136
878,4991,3050,0.137
71,4127,3072,0.138
112,4176,3077,0.139
13,4030,3082,0.14
317,4408,3154,0.141
272,4363,3169,0.142
758,4876,3177,0.143
788,4905,3185,0.1445
546,4655,3185,0.1445
863,4981,3204,0.146
37,4067,3211,0.147
134,4198,3212,0.148
107,4170,3218,0.1495
35,4064,3218,0.1495
635,4752,3228,0.151
186,4272,3239,0.152
322,4415,3242,0.153
528,4632,3261,0.154
271,4362,3296,0.155
6,4020,3327,0.156
652,4775,3345,0.157
557,4671,3352,0.158
65,4107,3375,0.159
574,4683,3399,0.16
401,4501,3412,0.161
312,4401,3414,0.162
743,4866,3428,0.163
855,4977,3442,0.164
201,4286,3463,0.165
344,4444,3470,0.166
475,4578,3479,0.167
476,4579,3510,0.168
307,4394,3517,0.169
718,4829,3519,0.17
18,4039,3529,0.171
364,4462,3548,0.172
170,4251,3566,0.173
188,4273,3573,0.174
42,4077,3579,0.175
646,4773,3612,0.176
575,4684,3624,0.177
138,4205,3640,0.178
493,4598,3645,0.179
