,job id,time (hours),cdf
603,4726,951,0.001
213,4306,968,0.002
251,4346,1028,0.003
209,4300,1037,0.004
800,4923,1072,0.005
528,4643,1093,0.006
34,4070,1136,0.007
285,4383,1145,0.008
753,4880,1161,0.009
161,4250,1187,0.01
380,4480,1246,0.011
826,4956,1257,0.012
23,4050,1268,0.013
312,4406,1283,0.014
530,4646,1292,0.015
660,4783,1341,0.016
26,4056,1369,0.017
327,4423,1373,0.018
276,4376,1381,0.019
107,4180,1416,0.02
131,4200,1450,0.021
549,4666,1519,0.022
584,4700,1538,0.023
762,4890,1577,0.024
868,4990,1585,0.025
743,4870,1622,0.026
566,4676,1661,0.027
421,4523,1731,0.028
40,4080,1758,0.029
237,4330,1785,0.03
305,4396,1787,0.031
53,4100,1793,0.032
864,4983,1803,0.033
783,4906,1805,0.034
249,4343,1854,0.035
601,4720,1863,0.036
538,4650,1895,0.037
726,4850,1901,0.038
611,4736,1983,0.039
61,4109,2113,0.04
734,4855,2125,0.041
1,4008,2156,0.042
260,4351,2167,0.043
278,4375,2170,0.044
780,4904,2171,0.0455
0,4003,2171,0.0455
609,4735,2182,0.047
162,4246,2188,0.048
761,4888,2189,0.049
651,4778,2200,0.05
335,4438,2209,0.051
712,4830,2219,0.052
546,4661,2237,0.053
630,4756,2248,0.054
108,4178,2256,0.055
710,4827,2257,0.056
515,4618,2282,0.057
117,4183,2301,0.058
476,4582,2322,0.059
586,4705,2342,0.06
522,4624,2343,0.061
468,4572,2360,0.062
165,4247,2372,0.063
729,4851,2376,0.064
803,4927,2404,0.065
47,4091,2406,0.066
203,4289,2429,0.067
49,4096,2435,0.068
553,4668,2456,0.069
455,4560,2462,0.07
830,4955,2469,0.071
112,4181,2471,0.072
724,4841,2483,0.073
274,4370,2489,0.074
671,4791,2492,0.075
205,4292,2509,0.076
633,4760,2517,0.077
430,4528,2522,0.078
452,4557,2531,0.079
68,4119,2538,0.08
2,4007,2542,0.081
607,4730,2563,0.082
757,4883,2569,0.083
254,4345,2575,0.084
794,4908,2583,0.085
799,4916,2588,0.086
731,4853,2605,0.087
4,4018,2608,0.088
292,4386,2611,0.089
291,4385,2641,0.09
874,4993,2647,0.091
704,4816,2677,0.092
558,4673,2678,0.093
450,4551,2681,0.094
438,4542,2711,0.095
845,4971,2713,0.096
422,4519,2719,0.097
739,4859,2725,0.098
324,4418,2734,0.099
398,4497,2744,0.1
534,4641,2748,0.101
750,4872,2749,0.102
36,4065,2759,0.103
111,4179,2766,0.104
634,4757,2767,0.105
104,4169,2771,0.106
14,4034,2782,0.107
396,4496,2806,0.108
141,4212,2817,0.109
677,4793,2826,0.11
264,4353,2830,0.111
821,4948,2835,0.112
356,4452,2839,0.113
855,4979,2854,0.114
284,4378,2859,0.115
668,4784,2863,0.116
423,4520,2891,0.117
168,4249,2902,0.118
330,4425,2907,0.119
357,4455,2920,0.12
736,4856,2934,0.121
415,4514,2939,0.122
705,4817,2942,0.123
685,4809,2948,0.124
881,4999,2949,0.125
589,4702,2960,0.126
265,4356,2964,0.127
79,4135,2992,0.128
428,4527,3000,0.129
